Variabila,F-Statistic,p-value,Semnificativ
flipper_length_mm,404.4411397694637,3.9716103721475654e-77,Da
culmen_length_mm,284.0605159114793,1.1564587828777106e-63,Da
culmen_depth_mm,270.9896740865989,5.779025747955647e-62,Da
body_mass_g,243.3565652912747,3.540416938799378e-58,Da
island,110.48999999999997,1.2513166966669268e-34,Da
sex,0.008885129285958707,0.9911545569680807,Nu
