Model,Acuratețe Antrenament,Kappa Antrenament,Acuratețe Testare,Kappa Testare
LDA,0.9916666666666667,0.9869302401568372,0.9903846153846154,0.9845468053491827
Naive Bayes,0.8416666666666667,0.7652147049737411,0.8365384615384616,0.7563395810363837
