Axa,Varianță explicată (%),F-Statistic,p-value,Semnificativ
LD1,86.48175970351632,1886.072835662138,2.792777741608872e-146,Da
LD2,13.518240296483683,294.8180737367034,5.080699477915897e-65,Da
