REGION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EasternE,294850.2,323161.3,356920.2,393291.60000000003,398888.10000000003,455204.2,512717.8,549067.2000000001,549832.7,604047.2,702378.7,788477.9,919314.0,1046586.4,929751.8,994928.7999999999,1046451.0,1057749.3,1067162.5,1102279.2,1165069.5999999999,1189753.1,1296621.9,1397425.0999999999,1496347.9,1460292.5,1609430.5
NorthernE,570096.0,616261.8999999999,650840.1,664374.2,711811.0,795403.0,803036.2,840132.9,854454.2000000001,896140.9,956205.1,1026189.9,1089642.3,1120662.7,1016615.0,1141880.9,1230209.3,1296201.2,1312904.1,1303416.9,1305449.3,1321094.9,1379340.9,1401362.5,1413557.0,1372182.6,1561164.3
SouthernE,1574575.5,1762558.0,1858554.5,1940348.7000000002,2044121.6,2175971.3,2309267.0,2422649.8,2539626.8,2676568.6,2798978.7,2962298.6999999997,3121938.1,3193549.1999999997,3084464.5999999996,3114000.1,3118705.9,3038998.8,3009789.6,3036537.2,3117470.0,3200745.7,3304184.4,3394618.1,3477241.4,3179594.0999999996,3424039.3
WesternE,4291680.8,4339197.0,4364395.5,4531445.3,4719048.2,4943822.9,5143633.4,5276700.1,5360453.1,5544786.4,5706198.5,5981882.8,6280996.1,6445918.5,6249444.8,6520177.4,6820181.7,6948062.1,7066073.4,7279795.4,7618241.5,7813077.8,8088668.300000001,8349124.8,8663285.9,8439828.5,9042789.9
