,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
ServAgr,-23.0,104.0,-7.0,556.0,980.0,-4.0,9244.0,-1566.0,-290.0,-693.0,-211.0,754.0,2047.0,38496.0,475.0,-16655.0,1.0,650483.0,3052.0,19812.0,-8076.0,21449.0,-45.0,-45.0,-1141.0,-25476.0,5092.0,-3053.0,649.0,515.0,-15147.0
Silvicultura,0.0,-0.0,0.0,-14.0,-84.0,0.0,-122.0,18.0,-0.0,6.0,1.0,16.0,-28.0,287.0,5.0,43.0,0.0,-1667.0,-26.0,-279.0,152.0,-45.0,1.0,-0.0,24.0,160.0,54.0,12.0,-1.0,1.0,-354.0
SupLoc,1.0,-3.0,-1.0,-10.0,-183.0,-3.0,531.0,0.0,-24.0,128.0,0.0,-52.0,117.0,-701.0,19.0,209.0,5.0,27258.0,420.0,-1818.0,-911.0,-45.0,-0.0,14.0,-123.0,226.0,230.0,-282.0,4.0,13.0,4433.0
DrumuriM,-67.0,103.0,7.0,-232.0,-5880.0,67.0,-21100.0,699.0,594.0,-3230.0,-1601.0,-4767.0,-9565.0,-87493.0,-1918.0,-7815.0,-102.0,-921497.0,-7523.0,73261.0,34973.0,-1141.0,24.0,-123.0,15708.0,-8211.0,6745.0,13059.0,-358.0,-397.0,-76320.0
Innoptari,58.0,-875.0,214.0,2754.0,-82979.0,-527.0,17424.0,-3250.0,-6581.0,71111.0,9191.0,53202.0,35595.0,161847.0,38024.0,397534.0,1260.0,4937840.0,9701.0,-551605.0,-80514.0,-25476.0,160.0,226.0,-8211.0,1470154.0,100007.0,-30624.0,7519.0,7560.0,270924.0
BugetVenituri,52.0,-294.0,117.0,11623.0,17494.0,-276.0,69651.0,16349.0,-2860.0,20055.0,4962.0,23233.0,23078.0,817250.0,10455.0,45880.0,717.0,5269844.0,31996.0,-198363.0,-17743.0,5092.0,54.0,230.0,6745.0,100007.0,339787.0,28191.0,2548.0,2825.0,92384.0
BugetSubventii,-64.0,111.0,121.0,-480.0,2437.0,74.0,-34676.0,-688.0,863.0,-14488.0,-2243.0,-13405.0,-16825.0,-104164.0,-4322.0,-18266.0,-381.0,-1909272.0,-15638.0,84808.0,56699.0,-3053.0,12.0,-282.0,13059.0,-30624.0,28191.0,32516.0,-1202.0,-1695.0,-253655.0
Apa,-2.0,-6.0,-2.0,176.0,-1336.0,-9.0,2592.0,323.0,-119.0,2056.0,227.0,1583.0,1335.0,18927.0,763.0,4809.0,44.0,191362.0,860.0,-9524.0,-2390.0,649.0,-1.0,4.0,-358.0,7519.0,2548.0,-1202.0,319.0,250.0,19579.0
Canal,2.0,-12.0,-4.0,396.0,-78.0,-9.0,3492.0,507.0,-110.0,2388.0,315.0,2134.0,1902.0,27201.0,963.0,5230.0,52.0,227773.0,1552.0,-12424.0,-4202.0,515.0,1.0,13.0,-397.0,7560.0,2825.0,-1695.0,250.0,317.0,22167.0
Export,501.0,-1719.0,-573.0,17728.0,-143967.0,-2036.0,530054.0,34032.0,-19162.0,178258.0,28316.0,114064.0,229511.0,1695745.0,66044.0,424378.0,5910.0,28939170.0,271482.0,-880848.0,-293269.0,-15147.0,-354.0,4433.0,-76320.0,270924.0,92384.0,-253655.0,19579.0,22167.0,7590136.0
