No.,Z1,Z2
41,-2.3222288271776024,1.4239232903053072
54,-0.8606842957534916,-0.6044727718576511
220,-1.5205391062047753,-0.7374631104884923
123,1.2184789931154605,0.9891698404712904
22,-2.145254609815718,1.2052814966825334
195,-1.976044094441987,0.1572928584431961
216,-0.43419430182933677,-0.725339852242637
157,-1.3900539869066024,1.252296856563815
61,0.9797167548637137,-0.050008519695109235
186,-0.5946941523668978,-2.4068961774674866
210,-0.6375074643945716,-0.546502022331642
182,-1.6967575500815724,0.42733747440766756
214,-1.0990754237150957,-0.5174174247245984
117,2.2192534015509837,0.7215185449912713
77,0.6121470284860767,0.7033682352411449
196,-1.7367263469858438,-0.5785491970302646
208,-1.3790404325751255,-0.753360581663907
190,-0.6041974285809741,-1.047622373374249
178,-1.9083377478509216,-0.2404308226553824
132,1.2790740680655652,2.1109498824990482
99,0.5707874115867562,-0.16230112167151348
162,0.0794135104938188,-1.0379845796745717
126,1.5775027285692516,-1.8307095385242267
120,1.8645889896430405,-0.11194223100045857
149,4.074972040081642,-1.5354202197731788
79,2.736150383053331,0.6398925843315579
32,-1.6504423125614525,0.7030022124113275
136,0.6167152354043967,-0.7841935412827102
134,5.015009687800735,0.2870312121147067
221,-0.006383058037103431,-2.032575079544703
148,3.295540470187735,-1.1028131277401876
14,-1.402295038325759,0.005053249454544008
209,-1.3391934686140243,0.06985451111181934
131,2.467008664570113,0.1742050164473037
84,1.5019299929510417,-0.7854522613528069
88,1.16137503959745,-0.33470079523301655
205,-1.5274807260383718,-0.11388649431223309
175,-1.8169400670627547,0.048172419219941656
91,4.533077505256231,1.207590338207258
201,-1.8903098927921722,1.0754634105642678
50,0.726236103547148,-0.5845174685215989
74,2.524597459517011,-0.30337773826946246
129,1.368343218399186,-0.9661860744912797
213,-0.7598930590270937,-0.7854293394019147
115,0.6838679688156465,0.46645768123702186
46,-1.2816464556911507,0.10521052806570509
207,-1.2880106257931307,-1.1599467792058276
49,0.11986531913798446,-0.9904901050864195
33,-1.1998282726752296,0.0005473401385665444
135,1.519665563402127,-1.8397002683573624
65,0.48407833902450753,1.8106499181735916
165,-1.1039284257489326,-0.14670549939519853
31,-2.0915644061736516,1.0502962488708145
15,-1.285657617424789,0.0908897950962717
159,-0.8609822548019822,-1.960040555698777
144,3.542335734108455,1.310074940807622
106,2.169584020510998,0.3314422333108706
112,1.4830137253875955,-0.49701930785482484
18,-1.7104660147581983,0.16190959319738776
198,-1.4378591485901702,-0.4044856615607244
23,-2.966865616725655,0.9932218651403057
150,-1.1818880671623007,-0.9253120603613797
161,-0.7352222779156014,-0.24003411458440435
114,3.374025058901724,0.20871391040307233
27,-1.7651142579233106,0.24509637562381034
53,3.405250447576346,1.02360722728737
97,1.197120678025987,1.154438793015698
224,-2.4730764447513285,0.08930239192169569
63,1.8214301649026872,-0.14920702128317576
83,2.5449819749997484,-0.9932781707325321
163,-0.5561552781368954,-1.9062785662436201
40,-2.078606110544207,2.7502392883935336
3,-1.3472442894282095,0.4386985553964101
52,0.6542302260451076,-0.685611100396415
217,-2.1269261798615258,-0.32955075036075104
181,-1.243192714001409,0.5291309905815939
167,-1.7989416932747144,-0.17488324347114328
20,-1.9457619362389675,0.33695519399480767
66,-0.7576525577424703,-2.73390253470807
73,1.3732132289800327,3.400669394250384
127,2.567730594556508,-1.2067253335094341
202,-1.4999694991673986,0.7297034509247453
96,1.7672934700359542,-0.19100720840967675
155,-1.18368022643985,-1.0544808244059831
197,-1.011173640763708,-0.8308791903152053
111,3.3527575338381608,-1.399558147896336
10,-2.563044726908737,1.9364696915376027
4,-0.6472434590880283,1.2416827911024386
199,-1.0155305574127627,-1.0435785029058513
25,-0.9084767055638622,1.3534595921044923
69,-0.19120493970171912,-0.2846184242543566
107,2.2317834733870416,-0.16280736966543186
38,-2.230120466440809,1.2904073206723612
105,1.782559674676961,0.47174591479261896
166,-1.0191136507265595,-0.2106700078072746
80,1.6770492058586564,-0.43071339175169504
168,-1.9737668119864906,-1.1176849073510806
109,4.304480193457895,0.14202732147609196
92,0.8216765061625185,0.39272627615305133
44,-0.9725884953961632,1.4892248023323207
81,0.33108331765915433,-1.265932802454765
101,2.0448762297287204,1.3217391189480723
133,1.6369432376688737,2.620235065634504
192,-1.705161467347741,-0.369517474371115
171,-0.865195378476233,-1.3051381300205431
215,-0.8322804167140273,-0.25973728152139364
70,0.15407166852173715,0.14866376358123662
218,-2.1929638379274117,0.7178016581663571
141,1.133206182887538,-1.1318402918007433
29,-1.5712334911323373,1.0426973294492752
16,-1.4469774228982895,-0.5834881156780297
103,1.6533838022806804,-0.015595642774139284
82,1.9239938761748512,0.30760907766407714
62,-0.2393627964373978,0.31648098598427
87,1.888119017772161,-1.03214754577836
139,4.293978711245432,1.2911011735071138
204,-1.3514573935589207,-1.2238934851579024
219,-1.0892858528605123,0.33162887418538034
173,-0.17182654461377464,-1.8009838011394075
