0,1,2,3
0.01036713557336665,0.16825635247539858,-1.7906040297017242e-17,-2.6769105705821647e-16
-0.09731391312441949,-5.286052019898927e-05,0.04409263142077136,-0.000292723021940311
-0.035670788478630214,-5.289237250127501e-05,-1.378148269750244e-05,9.684829519549771e-06
0.4712403610295459,-5.315430418000351e-05,-1.3141692929343587e-05,9.357631906150246e-06
0.34152178568796787,-5.3087275857221494e-05,-1.3305415146391072e-05,9.441361783280954e-06
0.01588527940694057,-5.2919012608588035e-05,-1.3716412034227554e-05,9.651551454182799e-06
0.4822045531602202,-5.315996960927536e-05,-1.3127854650291503e-05,9.350554812853702e-06
0.18673175767424802,-5.300729258602707e-05,-1.3500780894870552e-05,9.541274613752666e-06
0.6231309693464876,-5.323278925991268e-05,-1.2949986636880075e-05,9.259590573684229e-06
0.024291160040457553,-5.292335610434156e-05,-1.370580268695462e-05,9.646125682655612e-06
-0.11819460791550562,-5.284973070383874e-05,-1.3885638811165136e-05,9.738096441759988e-06
-0.13863673502136284,-5.2839167825778936e-05,-1.3911439513663922e-05,9.751291289038809e-06
-0.128038015961711,-5.284464440736445e-05,-1.389806251058053e-05,9.744450098852622e-06
-0.13198512512875374,-5.2842604852851466e-05,-1.390304429103934e-05,9.746997852439169e-06
-0.0706831086825811,-5.287428089869398e-05,-0.0004383560906372405,-0.030412391452043948
-0.119875784042209,-5.284886200468467e-05,-1.3887760680620121e-05,9.739181596065336e-06
-0.0520927118032402,-5.2883886947250266e-05,-1.3802209364348921e-05,9.695429432620289e-06
-0.14689642642647086,-5.283489986909565e-05,-1.3921864350549489e-05,9.75662269932188e-06
-0.1327160712707987,-5.2842227157561234e-05,-1.3903966842976327e-05,9.74746965865891e-06
-0.1460436559274184,-5.283534051354134e-05,-1.3920788039957137e-05,9.756072258732651e-06
-0.13032831387345184,-5.284346096210336e-05,-1.3900953173316876e-05,9.745928425008225e-06
-0.16373255256490632,-5.2826200287710406e-05,-1.3943113796826785e-05,9.767489969250375e-06
-0.09263585781533369,-5.2862937448888105e-05,-1.3853380245109052e-05,9.721598950942602e-06
-0.1408052085760962,-5.2838047329756154e-05,-1.3914176417743259e-05,9.752690980824329e-06
-0.12418836628027421,-5.284663360249966e-05,-1.3893203737047399e-05,9.741965252762187e-06
-0.11853571611512659,-5.284955444602724e-05,-1.3886069335402461e-05,9.738316617995884e-06
