,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
SalariatiC,-13.0,15.0,-6.0,1695.0,5158.0,4.0,8964.0,851.0,-51.0,4169.0,1164.0,7881.0,5588.0,148380.0,2076.0,5940.0,81.0,696193.0,143.0,-8990.0,-2000.0,2418.0,9.0,-142.0,-703.0,5387.0,18320.0,-878.0,411.0,450.0,6991.0
PAgrVeg,797.0,-957.0,372.0,-106501.0,-324194.0,-266.0,-563405.0,-53497.0,3180.0,-262037.0,-73126.0,-495284.0,-351190.0,-9325562.0,-130462.0,-373336.0,-5069.0,-43755068.0,-8990.0,565015.0,125714.0,-151966.0,-597.0,8922.0,44162.0,-338582.0,-1151379.0,55163.0,-25808.0,-28260.0,-439408.0
PAgrAnim,177.0,-213.0,83.0,-23696.0,-72132.0,-59.0,-125356.0,-11903.0,707.0,-58302.0,-16270.0,-110199.0,-78138.0,-2074903.0,-29027.0,-83066.0,-1128.0,-9735340.0,-2000.0,125714.0,27971.0,-33812.0,-133.0,1985.0,9826.0,-75333.0,-256178.0,12273.0,-5742.0,-6288.0,-97767.0
ServAgr,-214.0,257.0,-100.0,28644.0,87195.0,71.0,151533.0,14388.0,-855.0,70477.0,19668.0,133211.0,94456.0,2508192.0,35089.0,100412.0,1363.0,11768310.0,2418.0,-151966.0,-33812.0,40873.0,160.0,-2400.0,-11878.0,91065.0,309674.0,-14836.0,6941.0,7601.0,118183.0
Silvicultura,-1.0,1.0,-0.0,112.0,342.0,0.0,595.0,56.0,-3.0,277.0,77.0,523.0,371.0,9848.0,138.0,394.0,5.0,46207.0,9.0,-597.0,-133.0,160.0,1.0,-9.0,-47.0,358.0,1216.0,-58.0,27.0,30.0,464.0
SupLoc,13.0,-15.0,6.0,-1682.0,-5119.0,-4.0,-8897.0,-845.0,50.0,-4138.0,-1155.0,-7821.0,-5546.0,-147257.0,-2060.0,-5895.0,-80.0,-690924.0,-142.0,8922.0,1985.0,-2400.0,-9.0,141.0,697.0,-5346.0,-18181.0,871.0,-408.0,-446.0,-6939.0
DrumuriM,62.0,-75.0,29.0,-8324.0,-25339.0,-21.0,-44036.0,-4181.0,249.0,-20481.0,-5716.0,-38712.0,-27449.0,-728892.0,-10197.0,-29180.0,-396.0,-3419923.0,-703.0,44162.0,9826.0,-11878.0,-47.0,697.0,3452.0,-26464.0,-89993.0,4312.0,-2017.0,-2209.0,-34344.0
Innoptari,-478.0,573.0,-223.0,63820.0,194271.0,159.0,337617.0,32058.0,-1905.0,157024.0,43821.0,296796.0,210448.0,5588289.0,78178.0,223719.0,3038.0,26219972.0,5387.0,-338582.0,-75333.0,91065.0,358.0,-5346.0,-26464.0,202893.0,689958.0,-33056.0,15465.0,16934.0,263313.0
BugetVenituri,-1625.0,1950.0,-758.0,217025.0,660638.0,542.0,1148099.0,109015.0,-6479.0,533974.0,149016.0,1009283.0,715649.0,19003485.0,265853.0,760778.0,10330.0,89163399.0,18320.0,-1151379.0,-256178.0,309674.0,1216.0,-18181.0,-89993.0,689958.0,2346263.0,-112410.0,52592.0,57587.0,895419.0
BugetSubventii,78.0,-93.0,36.0,-10398.0,-31651.0,-26.0,-55006.0,-5223.0,310.0,-25583.0,-7139.0,-48355.0,-34287.0,-910459.0,-12737.0,-36449.0,-495.0,-4271827.0,-878.0,55163.0,12273.0,-14836.0,-58.0,871.0,4312.0,-33056.0,-112410.0,5386.0,-2520.0,-2759.0,-42900.0
Apa,-36.0,44.0,-17.0,4865.0,14808.0,12.0,25735.0,2444.0,-145.0,11969.0,3340.0,22623.0,16041.0,425964.0,5959.0,17053.0,232.0,1998601.0,411.0,-25808.0,-5742.0,6941.0,27.0,-408.0,-2017.0,15465.0,52592.0,-2520.0,1179.0,1291.0,20071.0
Canal,-40.0,48.0,-19.0,5327.0,16215.0,13.0,28179.0,2676.0,-159.0,13106.0,3657.0,24772.0,17565.0,466423.0,6525.0,18673.0,254.0,2188435.0,450.0,-28260.0,-6288.0,7601.0,30.0,-446.0,-2209.0,16934.0,57587.0,-2759.0,1291.0,1413.0,21977.0
Export,-620.0,744.0,-289.0,82825.0,252123.0,207.0,438156.0,41604.0,-2473.0,203784.0,56870.0,385179.0,273118.0,7252418.0,101459.0,290340.0,3942.0,34027984.0,6991.0,-439408.0,-97767.0,118183.0,464.0,-6939.0,-34344.0,263313.0,895419.0,-42900.0,20071.0,21977.0,341724.0
