Regiune,Orthodox,Roman_Catholic,Reformed,Pentecostal,Greek_Catholic,Baptist,Seventh-day_Adventist,Islam,Unitarian,Jehova_Witnesses,Evangelical,Old_Calendarists,Evangelical_Lutheran,Serbian_Orthodox,Romanian_Evangelical,Evangelical_Augustan,Judaism,Armenian_Apostolic,Other_Religion,Without_religion,Atheists
Bucuresti-Ilfov,1934155,28768,1370,6463,4220,3976,4900,10499,106,2156,2338,1176,432,488,2060,377,1548,115.0,4750,3284,8507
Centru,1416781,349019,270926,36665,32010,10900,14485,557,48993,15006,6981,623,14175,222,4548,3805,187,86.0,4242,5495,1972
Nord-Est,2789990,189742,270,74752,1665,6168,12479,994,12,3599,12630,13599,69,140,625,77,517,17.0,8591,1101,1492
Nord-Vest,1677509,161541,299244,116069,92700,43534,11857,1339,7572,20223,3671,821,1240,209,840,260,480,55.0,6709,4498,2951
Sud,2906492,4179,288,22170,516,2464,16521,1526,19,1209,11694,582,68,176,5028,174,49,10.0,636,870,1286
Sud-Est,2268175,11288,248,19297,604,2495,7955,47079,0,992,1591,14463,43,299,491,42,146,48.0,753,563,1244
Sud-Vest,1944134,3223,173,7118,388,3111,4165,525,9,1123,1193,134,32,989,430,28,36,0.0,315,337,453
Vest,1369768,122214,27784,79349,17907,39694,7963,1359,683,4926,1891,897,3836,11329,1002,393,430,5.0,4090,2123,1996
