Siruta,Localitate,Activitate
99879,Tiganasi,CalculatoareElectronica
17968,Poienarii De Muscel,Mobila
67121,Costestii Din Vale,Textila
34360,Romuli,Lemnului
149049,Horodniceni,Alimentara
157246,Giarmata,Lemnului
116288,Craciunesti,Mobila
83525,Oras Cristuru Secuiesc,Mobila
9798,Apateu,Alimentara
75338,Oras Beresti,Mobila
108106,Farcasa,Mobila
132681,Ciorani,Textila
124493,Tarcau,Lemnului
157273,Giera,Alimentara
34397,Salva,Textila
75356,Beresti-Meria,Textila
67167,Crangurile,Lemnului
50790,Municipiul Resita,Metalurgica
9832,Archis,Mobila
83561,Municipiul Gheorgheni,Alimentara
18028,Poiana Lacului,Alimentara
58990,Ploscos,Alimentara
132716,Cocorastii Mislii,Lemnului
149101,Horodnic De Jos,Alimentara
108151,Giulesti,Alimentara
99968,Valea Seaca,Alimentara
157317,Giulvaz,Alimentara
149138,Iacobeni,Lemnului
91795,Vata De Jos,Lemnului
124563,Tasca,Lemnului
132752,Colceag,Mobila
140958,Dobrin,Alimentara
9887,Bata,Textila
1696,Oras Cugir,Alimentara
59041,Poieni,Lemnului
116395,Cucerdea,Alimentara
34477,Sanmihaiu De Campie,Lemnului
108204,Ieud,Alimentara
26289,Zemes,Alimentara
83632,Municipiul Toplita,Textila
173748,Stefanesti,Alimentara
67256,Darmanesti,Alimentara
42682,Municipiul Braila,ConstructiiMasini
149183,Izvoarele Sucevei,Lemnului
108222,Lapus,Textila
132805,Cornu,ConstructiiMasini
50889,Oras Anina,Lemnului
124616,Tazlau,Lemnului
26320,Sarata,Textila
75472,Oras Targu Bujor,Mobila
108240,Leordina,Lemnului
42708,Chiscani,Metalurgica
124634,Tamaseni,Alimentara
67292,Dobra,Alimentara
141027,Dragu,Alimentara
173793,Susani,Alimentara
149227,Oras Liteni,Lemnului
50923,Oras Baile Herculane,Lemnului
132841,Cosminele,Lemnului
108268,Miresu Mare,Lemnului
157424,Jebel,Textila
124661,Timisesti,Alimentara
100086,Vanatori,Alimentara
26361,Prajesti,Lemnului
75515,Barcea,CalculatoareElectronica
67327,Dragodana,Alimentara
42753,Oras Faurei,Alimentara
1794,Oras Ocna Mures,Alimentara
157451,Lenauheim,Lemnului
26379,Itesti,Mobila
116493,Danes,Alimentara
10006,Birchis,Lemnului
50969,Oras Bocsa,Alimentara
141081,Fildu De Jos,Lemnului
132896,Drajna,Lemnului
83749,Oras Vlahita,Lemnului
149290,Marginea,Lemnului
124723,Trifesti,Alimentara
34618,Sant,Lemnului
157497,Liebling,Alimentara
108348,Moisei,Lemnului
116545,Deda,Lemnului
18242,Priboieni,Lemnului
51010,Municipiul Caransebes,ConstructiiMasini
149316,Malini,Lemnului
83785,Atid,Alimentara
141134,Galgau,Alimentara
67407,Dragomiresti,Lemnului
91982,Vetel,Mobila
1874,Municipiul Sebes,Lemnului
34645,Sieu,Lemnului
157530,Lovrin,Textila
59238,Risca,Lemnului
173935,Tomsani,Lemnului
116590,Eremitu,Lemnului
51056,Oras Moldova Noua,ConstructiiMasini
108400,Ocna Sugatag,Alimentara
149370,Manastirea Humorului,Lemnului
100219,Voinesti,Lemnului
34690,Sieu-Magherus,Lemnului
124803,Tibucani,Lemnului
83847,Avramesti,Lemnului
1936,Oras Zlatna,Metalurgica
59283,Sacuieu,Alimentara
157585,Margina,ChimicaFarmaceutica
133018,Draganesti,Alimentara
18331,Ratesti,Textila
42913,Bordei Verde,Lemnului
149414,Moara,Energetica
108455,Petrova,Lemnului
116652,Ernei,ConstructiiMasini
51118,Oras Oravita,Lemnului
124849,Urecheni,Alimentara
141232,Garbou,Lemnului
108473,Poienile De Sub Munte,Lemnului
100282,Costesti,Lemnului
165817,Rosiesti,Alimentara
75711,Branistea,Textila
59327,Savadisla,Lemnului
67522,Glodeni,Textila
26564,Municipiul Oradea,Textila
174021,Vaideeni,Lemnului
100308,Draguseni,Alimentara
26582,Sanmartin,Energetica
133090,Dumbrava,Lemnului
83936,Bilbor,Lemnului
100326,Harmanesti,Alimentara
18411,Recea,Alimentara
100335,Rachiteni,Alimentara
157683,Masloc,Alimentara
116723,Faragau,Alimentara
83963,Capalnita,Lemnului
149502,Moldova-Sulita,Lemnului
10239,Brazii,Lemnului
100353,Valea Lupului,Energetica
51207,Oras Otelu Rosu,Textila
108552,Remeti,Lemnului
67595,Gura Ocnitei,Alimentara
43019,Ciresu,Alimentara
100362,Ciohorani,Alimentara
124938,Alexandru Cel Bun,Lemnului
83981,Ciucsangeorgiu,Lemnului
92177,Zam,Lemnului
59416,Sic,Lemnului
26653,Santandrei,Alimentara
149539,Moldovita,Lemnului
34850,Sieut,Lemnului
59434,Sancraiu,Lemnului
157736,Manastiur,Lemnului
51243,Armenis,Lemnului
133161,Filipestii De Padure,Alimentara
10293,Buteni,Lemnului
108598,Repedea,Lemnului
116796,Fantanele,Alimentara
43073,Dudesti,Textila
67648,Gura Sutii,Textila
141376,Hereclean,Mobila
26699,Oras Alesd,Textila
174156,Vladesti,Alimentara
2130,Albac,Lemnului
34903,Sintereag,Alimentara
157781,Moravita,Lemnului
108632,Rona De Sus,Lemnului
125016,Vanatori-Neamt,Lemnului
165979,Stanilesti,Textila
67675,Hulubesti,Alimentara
133214,Filipestii De Targ,CalculatoareElectronica
18527,Rucar,Alimentara
51305,Bania,Alimentara
10346,Carand,Lemnului
26742,Astileu,Textila
84086,Ciumani,Lemnului
18554,Salatrucu,Lemnului
108669,Rozavlea,Alimentara
116867,Galesti,Alimentara
51332,Bautar,Lemnului
125061,Zanesti,Lemnului
10373,Cermei,Lemnului
141447,Hida,ChimicaFarmaceutica
84102,Carta,Mobila
157834,Mosnita Noua,Textila
174218,Voicesti,Alimentara
75917,Certesti,Alimentara
18581,Sapata,Alimentara
149655,Ostra,Lemnului
67737,I. L. Caragiale,Alimentara
108696,Ruscova,Mobila
133278,Fantanele,Alimentara
100521,Municipiul Giurgiu,Textila
34985,Teaca,Alimentara
108712,Satulung,Lemnului
125098,Dochia,Lemnului
43180,Galbenu,Energetica
174254,Voineasa,Lemnului
75953,Corod,Alimentara
125105,Ruginoasa,ChimicaFarmaceutica
149682,Panaci,Lemnului
10417,Chisindia,Lemnului
26804,Municipiul Beius,Textila
84148,Corbu,Alimentara
67773,Lucieni,Alimentara
59586,Sanpaul,Alimentara
125123,Valeni,Alimentara
157898,Nadrag,Lemnului
116938,Ganesti,Mobila
84175,Corund,Lemnului
133330,Floresti,ConstructiiMasini
26840,Oras Stei,Alimentara
100576,Oras Buftea,Alimentara
157923,Nitchidorf,Alimentara
76004,Corni,Mobila
18670,Schitu Golesti,ConstructiiMasini
35054,Telciu,Lemnului
125169,Negresti,Mobila
116983,Gheorghe Doja,Alimentara
51449,Berzasca,Textila
108794,Sacalaseni,Mobila
125178,Boghicea,Textila
149753,Paltinoasa,Lemnului
166137,Suletea,Alimentara
26877,Municipiul Marghita,Textila
100610,Municipiul Oltenita,ConstructiiMasini
2309,Almasu Mare,Lemnului
59657,Suatu,Alimentara
84237,Danesti,Lemnului
141580,Ileanda,Alimentara
133394,Fulga,Alimentara
35090,Tiha Bargaului,Lemnului
100638,Mitreni,Alimentara
10532,Craiva,Alimentara
166182,Tanacu,Lemnului
26920,Oras Nucet,Lemnului
84264,Dealu,Lemnului
51500,Berzovia,Alimentara
59693,Tritenii De Jos,Alimentara
43313,Gropeni,Textila
117042,Ghindari,Lemnului
158010,Ortisoara,Textila
43331,Oras Ianca,Alimentara
67906,Lunguletu,Mobila
100683,Municipiul Urziceni,Textila
108874,Sacel,Alimentara
149833,Patrauti,Textila
2381,Arieseni,Lemnului
35152,Tarlisua,Lemnului
149851,Poiana Stampei,Lemnului
18778,Stalpeni,Lemnului
108892,Oras Salistea De Sus,Lemnului
26975,Municipiul Salonta,Mobila
100709,Ciocarlia,ConstructiiMasini
158065,Peciu Nou,Alimentara
59764,Tureni,Alimentara
51573,Bozovici,Lemnului
108918,Salsig,Alimentara
117113,Glodeni,Lemnului
84344,Ditrau,Lemnului
76157,Cudalbi,Alimentara
27007,Oras Vascau,Alimentara
100736,Manasia,Alimentara
133508,Gorgota,Alimentara
76175,Draguseni,Textila
108945,Sapanta,Lemnului
43411,Oras Insuratei,Alimentara
100754,Adancata,Alimentara
92569,Municipiul Calarasi,Metalurgica
141722,Ip,Alimentara
10649,Dezna,Lemnului
84380,Darjiu,Textila
158109,Periam,Alimentara
108963,Oras Seini,Lemnului
125347,Municipiul Slatina,Metalurgica
68002,Manesti,Textila
174502,Diculesti,Alimentara
149931,Pojorata,Lemnului
166315,Tatarani,Textila
18858,Stoenesti,Lemnului
92587,Modelu,Lemnului
51626,Brebu,Mobila
100781,Adunatii-Copaceni,Alimentara
59826,Taga,Alimentara
117177,Gornesti,Lemnului
133562,Gornet,Alimentara
27070,Abram,Lemnului
84415,Frumoasa,Lemnului
125374,Slatioara,ChimicaFarmaceutica
35269,Uriu,Alimentara
43466,Jirlau,Alimentara
149968,Preutesti,Lemnului
76255,Fartanesti,Alimentara
100834,Afumati,Alimentara
43493,Marasu,Alimentara
158181,Pischia,Alimentara
59880,Unguras,Alimentara
125418,Oras Bals,ConstructiiMasini
84460,Galautas,Lemnului
109041,Suciu De Sus,Alimentara
51699,Buchin,ConstructiiMasini
92658,Municipiul Slobozia,Alimentara
18938,Stolnici,Alimentara
10765,Ususau,Lemnului
166413,Todiresti,Lemnului
2577,Avram Iancu,Lemnului
150043,Putna,Lemnului
76317,Frumusita,ConstructiiMasini
92701,Municipiul Fetesti,Textila
27169,Abramut,Alimentara
125472,Municipiul Caracal,Alimentara
158243,Racovita,Alimentara
59942,Vad,Alimentara
109096,Sisesti,Lemnului
43563,Maxineni,Textila
150070,Radaseni,Mobila
133688,Gura Vadului,Alimentara
19007,Suseni,Alimentara
76353,Fundeni,Alimentara
117319,Gurghiu,Alimentara
10827,Felnac,Mobila
27212,Auseu,Textila
84558,Joseni,Lemnului
68182,Moroeni,Alimentara
133722,Iordacheanu,Mobila
51804,Carasova,Lemnului
92765,Oras Tandarei,Alimentara
150114,Rasca,Lemnului
35429,Zagra,Alimentara
125542,Oras Corabia,Textila
100969,Balotesti,Mobila
158314,Oras Recas,Alimentara
43625,Mircea Voda,Alimentara
92783,Albesti,Alimentara
84594,Lazarea,Lemnului
76406,Ghidigeni,Lemnului
10872,Ghioroc,ConstructiiMasini
109176,Oras Somcuta Mare,Lemnului
60026,Valea Ierii,Lemnului
166529,Tutova,Alimentara
43652,Movila Miresii,Textila
101001,Baneasa,Energetica
84629,Lueta,Lemnului
27285,Avram Iancu,Textila
125588,Garcov,Lemnului
174744,Municipiul Focsani,Textila
60062,Viisoara,ConstructiiMasini
150178,Sadova,Lemnului
133795,Izvoarele,Lemnului
51877,Constantin Daicoviciu,Alimentara
92836,Oras Amara,Alimentara
19114,Stefan Cel Mare,Alimentara
84656,Lunca De Jos,Lemnului
117426,Hodac,Lemnului
142006,Maeriste,ConstructiiMasini
150196,Satu Mare,Lemnului
125622,Oras Draganesti-Olt,Alimentara
68280,Nucet,Lemnului
158396,Remetea Mare,ConstructiiMasini
174780,Campineanca,Alimentara
10943,Gurahont,Alimentara
60099,Vultureni,Mobila
19141,Suici,Alimentara
76497,Gohor,Alimentara
109265,Oras Ulmeni,Textila
43732,Ramnicelu,Lemnului
101083,Belciugatele,ConstructiiMasini
133866,Jugureni,Energetica
174824,Golesti,Lemnului
51948,Ciclova Romana,Lemnului
125677,Baldovinesti,Textila
166636,Valeni,Alimentara
150258,Slatina,Lemnului
158449,Sacosu Turcesc,Alimentara
27383,Batar,Alimentara
142079,Mesesenii De Jos,Alimentara
117505,Hodosa,Alimentara
60169,Negreni,Lemnului
43787,Romanu,Alimentara
19212,Teiu,Alimentara
174860,Municipiul Adjud,Lemnului
166672,Vetrisoaia,Alimentara
84754,Lunca De Sus,Lemnului
150294,Straja,Lemnului
101145,Berceni,Metalurgica
92961,Borcea,ChimicaFarmaceutica
43812,Rosiori,Alimentara
150310,Stroiesti,Lemnului
76585,Independenta,Alimentara
142122,Mirsid,Textila
101163,Bolintin-Deal,Alimentara
109354,Valea Chioarului,Lemnului
27436,Biharia,Alimentara
117550,Ibanesti,Alimentara
19249,Tigveni,Alimentara
11058,Halmagiu,Alimentara
68404,Pietrosita,Lemnului
76601,Ivesti,Textila
92989,Bordusani,Lemnului
158528,Satchinez,Alimentara
101190,Oras Bolintin-Vale,Alimentara
174922,Oras Marasesti,Textila
133964,Lipanesti,Textila
150356,Stulpicani,Lemnului
84825,Lupeni,Alimentara
43867,Salcia Tudor,Alimentara
93021,Bucu,Alimentara
2915,Oras Baia De Aries,Textila
142177,Napradea,Mobila
158564,Sacalaz,Alimentara
109425,Vima Mica,Alimentara
166770,Vinderei,Alimentara
68468,Potlogi,Alimentara
134014,Magurele,Lemnului
76674,Liesti,Alimentara
19338,Titesti,ConstructiiMasini
93067,Oras Cazanesti,Mobila
150418,Sucevita,Lemnului
35731,Municipiul Botosani,Textila
52115,Cornea,Alimentara
76692,Matca,Alimentara
93085,Ciocanesti,Mobila
142239,Nusfalau,CalculatoareElectronica
134050,Magureni,Alimentara
117667,Iclanzel,Alimentara
27560,Borod,Mobila
175019,Oras Odobesti,Alimentara
2988,Berghin,Lemnului
93101,Ciochina,Mobila
35759,Curtesti,Alimentara
150445,Saru Dornei,Lemnului
101298,Branesti,ConstructiiMasini
84923,Martinis,Alimentara
158653,Sanandrei,Textila
19392,Uda,Lemnului
109504,Viseu De Jos,Lemnului
175055,Oras Panciu,Textila
142284,Pericei,Alimentara
134096,Maneciu,Mobila
3039,Bistra,Lemnului
11236,Hasmas,CalculatoareElectronica
93156,Ciulnita,Alimentara
158699,Sanmihaiu Roman,ConstructiiMasini
27631,Bors,CalculatoareElectronica
150524,Todiresti,Lemnului
35839,Rachiti,Alimentara
60419,Municipiul Constanta,Energetica
76807,Nicoresti,Alimentara
125962,Brastavatu,Alimentara
68627,Oras Racari,ChimicaFarmaceutica
175126,Andreiasu De Jos,Lemnului
117783,Ideciu De Jos,Textila
44060,Stancuta,Alimentara
27686,Bratca,Alimentara
60455,Oras Eforie,ChimicaFarmaceutica
